ï»¿question_id,topic,question_text,option_a,option_b,option_c,option_d,correct_answer
69,×©××××ª ×¨×× ××××××,×××× ×××ª×¨ ×××©×ª××© ××××§ ××©×××© ××¨×× ×× 23 ××××©××?,"××, ××× ×§×©×¨ ×××¦××","××, ×¨×§ ×××§ ×ª×§×× ×©×× ×××¦×¢ ×× ×ª××§×× ×× ×§×××××","××, ×¢× 24 ××××©×× - ×××§×× ×××©×× ××××",×ª××× ×××××ª ×©××× ××¨××,C
70,×©××××ª ×¨×× ××××××,××× × ××§ ×××××?,×× ××§ ×××××× ××××©× ××¤× ×©××× ××× ××¨×× ×¢× ×¤× ×××××¨×× ×××§××× ×©× ×××× ××× ×ª××¡×¤××ª ××××××¨×× ×©×××ª×§× × ××¨××,× ××§ ××¨×× ××ª××¦×× ××××¨××¢ ×ª××× ×ª×,"××× ×××¨ ××× × ××§ ×××××, ×× ××§ ××× × × ××§ ×××©× ×©× ×××§ ×¢× ××× ××©×××",×× ××§ ×××××× ××××©× ××¢×¨×× ×××©×××× ×©× ××¨×× ××¤× ×××××¨×× ×××§××× ×©× ××××,A
71,×©××××ª ×¨×× ××××××,××××¨×ª ××××× ××××¨ ×××?,×¨×× ×©×©××× ×¨×× ×§××¢ ××××× ×©××× ××¦× ×××× ×©××××© ×× ×©×× ××§ ×××××× ×× ××× 60% ×××¢×× ××©××× ××¨××,×¨×× ×©×©××× ××××× ××××¨×× ××××××©,×¨×× ×©×¢××¨ ×ª××× × ×§×©× ××××××× ××××× ×××©×××ª,××× ×××¨ ××× ×¨×× ×××××× ××××¨ ××© ×¨×§ ××××× ××××¨ ×××××,A
72,×©××××ª ×¨×× ××××××,××× ×¤××××¡× ×× ×ª×§× ××ª?,×¤××××¡× ×× ×ª×§× ××ª ××× ×¤××××¡× ×× ×××§××ª,×¤××××¡× ×× ×ª×§× ××ª ××××¢××ª ×××× ×××××× ×¨×××© ×××¨××ª ××¢×¡×§××,×× ×§××× ×××©× ×××,×××¡×× ×©××× ×¢× × ××§×× ×× ××××× ×©× ×××¢× ×©× ××¦× ××ª×× ×××©×××ª ×××× ××××××,D
73,×©××××ª ×¨×× ××××××,××× ××©×ª×ª×¤××ª ×¢×¦×××ª ×××××× ××¨××?,"××©×ª×ª×¤××ª ×¢×¦×××ª ××× ××¡××× ×©×××××× ××©×× ×××§×¨× ×©× ×ª×××¢×, ××¤× × ×©×××¨×ª ×××××× ×××¡× ××ª ××©××¨",××©×ª×ª×¤××ª ×¢×¦×××ª ×× ×¡××× ×©×××¡××¤×× ××¤××××¡× ×¢×××¨ ××¨×××ª ×¢×¨×,××©×ª×ª×¤××ª ×¢×¦×××ª ××× × ×§××××ª ×××××× ×¨×× ××× ×××××× ×¨×××© ××××,××©×ª×ª×¤××ª ×¢×¦×××ª ××© ×¨×§ ××¤××¦×× ×¢×××¨ ××¨×××ª ×¢×¨×,C
74,×©××××ª ×¨×× ××××××,"×× ××××× ××× ××××× ××××, ××§××£ ××¦× ××³?",××,×× ,××× ×××× ×××§×ª×,×ª×§× × 581×,D
75,×©××××ª ×¨×× ××××××,××× ×××¨×ª ××©××¨× ××××××ª ××§×¦××´×ª ×××××§×ª ×¨××××?,"××× ××××, ××××× ×× ×××××",××××× ×××× ×××§××£ ×× ×× ×©×¦×¨×× ×××××× ×¨××,××××× ×××× ×××¡× × ××§× ×××£ ××ª××× ×. ××××× ××§××£ ×××¡× × ××§× ×¨×××© ××¨×× ×××××× ×××¦×××× ×××¨×× ××¢×× ××××× ×¦× ××³ ×××¡× ×¨×§ × ××§×× ××¦× ×©×××©×,"××××× ×××× ××××¨× ×©××××× × ××××××ª, ××××× ××§××£ ×××¡× × ××§× ×¨×××© ××¨×× ×××××× ×××¦×××× ×××¨××, ××¢×× ××××× ×¦× ××³ ×××¡× ×¨×§ × ××§×× ××¦× ×©×××©×.",B
76,×©××××ª ×¨×× ××××××,××× ××××× ××××?,××××× ×××× - ××××¨× ×©××××× × ××××××ª,××××× ×××× ×××¡× ××ª ×××××ª ×©× ×××¨×ª ×××××× ××¤× ×××¤××¨× ××¤××××¡×,××××× ×××× ×××¡× × ××§×× ×©× ×¨×× ×¦× ××³ ××× ×××,××××× ×©×××¡× × ××§× ×××£ ××ª××× ××ª ××¨×××,A
77,×ª×¤×§××× ×§×¦×× ××××××ª (×§×¦××´×ª),×× ×× ×××¨×× ×××××××ª ×××××× ×××× ××§×¦××´×ª?,×× ×× ,××¡××¨×,×× ×©××¡×××× ××× ××¤× ×¡×¢××£ 16,×× ×× ×××¨×× ×¢× ××¨×× ××× ×××× × ××××××ª,C
78,×ª×¤×§××× ×§×¦×× ××××××ª (×§×¦××´×ª),××ª ×× ×××××¨× ×ª×§× × 585?,×ª×§× ××ª ××ª×¢×××¨×,×ª×§× ××ª ×××××ª ×××¢× ××,×ª×¤×§×××× ×©× ××§×¦××´×ª,×××¨×××ª ×××¢× ××,C
79,×ª×¤×§××× ×§×¦×× ××××××ª (×§×¦××´×ª),×××ª ×××× ××× × ×××§ ×¨×× ×¢×´× ×§×¦××´×ª?,×× 45 ×××,×× 20 ×××,××× ××××¨× ××××§,×× ××©×××¢,B
80,×ª×¤×§××× ×§×¦×× ××××××ª (×§×¦××´×ª),××× ×¨×©×× ×§×¦××´×ª ××¤×¡×× ××ª ×× ×××× ××¨××?,××,××,××¡××¨ ××× ××¢ ××¨×× ×× ××¢ ×××××©,"××, ×××ª×× ×× ×§××ª ××¢× ×¤× ××× ×§×¦××´×ª",D
81,×ª×¤×§××× ×§×¦×× ××××××ª (×§×¦××´×ª),××× ××§×¦××´×ª ×××ª×¨ ×××¢×××¨ ××××¢ ×××©× ×©× ×× ×× ××××¨× ××× ×× ×××¨ ×× ×©××××© ×× × ×××?,××,××,××§×¦××´×ª ××× ×××©× ××ª××§ ×× ××,××¡××¨. ×××××¢ ××× × × ××ª× ×××¢××¨×,D
82,×ª×¤×§××× ×§×¦×× ××××××ª (×§×¦××´×ª),×× ×××¨×× ××××¨× ×¢× ×××¨××ª × ××××?,××¢× ××××ª,××¡××¨×,×§×¦×× ×××××××ª ×× ××× ×××¢×× ×××××©×¨ ×××× ××¤× ×¡×× ×¨××©××× ××¨××,××¢× ××¨××,C
83,×ª×¤×§××× ×§×¦×× ××××××ª (×§×¦××´×ª),××× ×¨××©× ××¢× ××¤×¢× ××ª×ª ×× ×× ×× ××× ××¨×× ××¨× ×¤××© ×§×¦×× ××××××ª?,××¢× ××¤×¢× ××¡××¨ ×× ××ª×ª ×× ×× ××¢×××ª ××¨×× ××¨× ×¤××© ×§×¦××´×ª,×§×¦×× ××××××ª ×× ×××××,"××, ××¤×©×¨",×§×¦×× ×××××××ª ×××¨×× ×¨×§ ×¢× ×ª×§×× ××ª ×××©×××ª,A
84,×ª×¤×§××× ×§×¦×× ××××××ª (×§×¦××´×ª),××× ×§×¦××´×ª ×××× ××××××¢ ××¨×©××ª ×¢× ×××¤× ×¡××× ××¢×¡×§×ª× ×××¤×¢×?,××,××,××× ×××× ×××§×ª×,×ª×§× × 581×,D
85,×ª×¤×§××× ×§×¦×× ××××××ª (×§×¦××´×ª),××× ×××¨×ª ××©××¨× ××××××ª ××§×¦××´×ª ×××××§×ª ×¨××××?,"×. ××, ×××ª ×- 6 ×©× ××","××¨×××× ×¢×××××, ××× ×¦××¨×","××, ××× ××××","××¨×××× ×× × ××¦××× ××××¨×©, ××× ×¤×××¨",A
86,×ª×¤×§××× ×§×¦×× ××××××ª (×§×¦××´×ª),×××ª ×××× ××× ××© ××©×××¨ ×××¡×§×× ×©× ×××××¨×£?,××× ×©××ª×× ××ª×§× ××ª,××ª×§××¤× ×©× 180 ×××,××ª×§××¤× ×©× 168 ×××,××× ×××× ××©×××¨ ×××¡×§××,B
87,×ª×¤×§×××× ×©× ××× ×× ×××§×¦××¢× ×××¨××× ×× ××¢× ×£ ××××××,×¢× ×× ×××××ª ××××¨×××ª ×××× ×©×¢××ª × ×××× ××× ××× ×©× ×× ××?,×¢× ×§×¦×× ×××××××ª ××××,×¢× ××¡××¨× ××××,×¢× ×× ×× ××××¦×¢ ××××,×¢× ×× ××¢×× ××ª×¤×§×××× ××§×©××¨×× ××©×××× ×× ××,D
88,×ª×¤×§×××× ×©× ××× ×× ×××§×¦××¢× ×××¨××× ×× ××¢× ×£ ××××××,××× ×× ×× ××§×¦××¢× ×××× ×××©×¨ ××¢××¡× ××¢× ×××©×§× ××××ª×¨?,×¨×§ ××§×¦×× ×××××××ª ×××ª×¨,××ª× ×× ×©××××¢× ×× ×××× ×××¤× ××ª ××¨××,××¡××¨ ××× ×× ×××§×¦××¢× ×××©×¨ ××¢××¡× ×× ×××× ××¨××©××× ××¨××,×× ××ª×©××××ª × ××× ××ª,C
89,×ª×¤×§×××× ×©× ××× ×× ×××§×¦××¢× ×××¨××× ×× ××¢× ×£ ××××××,×××× ×××××¤×× ×××§ ×©××¨××ª× ×××××× ×× ×× ×¢××××?,×§××××¥,×××¡× ×¤×¨×× ×××××¨× ×× ×××,×××¨× ××¢×´×,×©××¨××ª ××ª× ××¡×××¨,D
90,×ª×¤×§×××× ×©× ××× ×× ×××§×¦××¢× ×××¨××× ×× ××¢× ×£ ××××××,×××§ ××××¨××©××ª ×× ××¨×©××ª ×××× ×× ×××§×¦××¢× ××§×××ª ××¡××× ××:,×ª××©× ××©×¨××,××¢× × ××¡××× ×©× ×©× ×ª××× ××¤×××ª ××ª×¤×§×× ××¨××× × ××ª××× ××××××,××× ××¢× ×ª×××¨ ××× ×× ×¢×¡×§××,×¨×§ ×ª×©××××ª ××³ ×-××³ × ××× ××ª,D
91,×ª×¤×§×××× ×©× ××× ×× ×××§×¦××¢× ×××¨××× ×× ××¢× ×£ ××××××,× ××ª× ××ª×××¢ ××××¤× ×××©× ×× ×× ××©×¨× ××××× ×©× ×××¨× ××¢×´× ×××§×¨×× ×××××:,× ××¨×© ××× ×××× ××¢××× ××¢× ×©×¢××ª ××¢×××× ××××ª×¨××ª,××××¢ ×××¢××¡×ª ××ª×¨ ××¢× ×××©×§× ××××ª×¨,××¤×©×¨ ×× ×××× ×× ××× ××¨×× ×× ×ª×§××,×× ××ª×©××××ª × ××× ××ª,D
92,"××× × ×ª×¢×××¨×, ×¢×××× ××¢×¡×§××",×××¦× ×××××¨ ××××××¨×£ ×¢×¤×´× ×¤×§×××ª ××ª×¢×××¨×:,×× ××××¨××ª,××× ××××¤× ××©××¨×ª×,"×××©××¨ ××××ª×§× ××¨×× ×××××¢× ××¡×× ×× ××¨×©×× ××ª ××××ª ××¨×× ×××¦× × ×¡××¢× ×× ×¢×¦××¨× ××× ××ª ××¨××§ ×× ×¡××¢×, ××ª ××××¨××ª ×× ×¡××¢× ×××ª ××× ×× ×××× ×©× ×× ××× ××¨××",××× ××××¨× ××××××¨×£ ××¤×§×××ª ××ª×¢×××¨×,C
93,"××× × ×ª×¢×××¨×, ×¢×××× ××¢×¡×§××",×××× ××××©×¤××× ××××× × ×××?,×ª× ×× ×××¡×× ×¢×××× ×××©× ××¡××ª×¨×ª ××¡×× ×§××××¦× ××× ×××§××ª,×ª× ×× ×××¡×× ×¢×××× ×××©× ××¡××ª×¨×ª ××¡×× ×§××××¦× ××× ××× × ×××§××ª ××××× ××× ××¦×,×ª× ×× ×××¡×× ×¢×××× ×××©× ××¡××ª×¨×ª ××¡×× ×§××××¦× ××× ××× × ×××§××ª ××× × ××ª× ×××ª×××¨ ×¢××× ×××¡×××ª ××¦××××,××× ×× ××¢× ×××§××ª ××ª× ×× ×××¡×× ×¢×××× ×××©××ª ××¡××ª×¨×ª ××¡×× ×§××××¦×,B
94,"××× × ×ª×¢×××¨×, ×¢×××× ××¢×¡×§××",××× ×××¨×ª× ×©× ×××§ ×¨××©×× ×¢×¡×§××?,××ª× ××××ª ××××××ª × ××× ×,×©×××¨× ×¢× ××××××ª ×× ××¦××× ×××§×× ××¢×¡×§ ×× ××¡××××ª×,××£ ×ª×©××× ××× × × ××× ×,×ª×©××××ª ××³ ×-××³ × ××× ××ª,D
95,"××× × ×ª×¢×××¨×, ×¢×××× ××¢×¡×§××",×× ××× ××× ×¢×¤×´× ×××§ ××© ××××××£ ××ª ××××¡×§× ×©× ××××××¨×£?,×× 14 ×©×¢××ª,×× 12 ×©×¢××ª,××× ×¦××¨× ×××××¤×ª ×××¡×§× ×××,×× 24 ×©×¢××ª ,D
96,"××× × ×ª×¢×××¨×, ×¢×××× ××¢×¡×§××",××§××¤× ××ª ××ª×©××× ×× ××× × ××××ª×¨?,×¢×¤×´× ×ª×§× × 168 × ×× ×× ××ª××× ××ª ×¢××××ª× ××× ×××¨× ×× ××× ×©××××¥ ××¢×××× ×××©× 10 ×©×¢××ª ×¨×¦××¤××ª ××¤×××ª ××× ×× ×× ×××ª×¨ ×-8 ×©×¢××ª ××× ×ª×§××¤× ×©× 24 ×©×¢××ª ××× ×××ª×¨ ×-55 ×©×¢××ª ××× ×ª×§××¤× ×©× 7 ××××,×¢×¤×´× ×ª×§× × 168 × ×× ×× ××ª××× ××ª ×¢××××ª× ××× ×××¨× ×× ××× ×©××××¥ ××¢×××× ×××©× 7 ×©×¢××ª ×¨×¦××¤××ª ××¤×××ª ××× ×× ×× ×××ª×¨ ×-12 ×©×¢××ª ××× ×ª×§××¤× ×©× 24 ×©×¢××ª ××× ×××ª×¨ ×-68 ×©×¢××ª ××× ×ª×§××¤× ×©× 7 ××××,×ª×§× × 168 ××× × ×××××× ××ª ×× ×× ××××× ×ª ×©×¢××ª × ×××× ×/×× ×©×¢××ª ×× ×××,×¢×¤×´× ×ª×§× × 168 × ×× ×× ××ª××× ××ª ×¢××××ª× ××× ×××¨× ×× ××× ×©××××¥ ××¢×××× ×××©× 4 ×©×¢××ª ×¨×¦×¤××ª ××¤×××ª ××× ×× ×× ×××ª×¨ ×-6 ×©×¢××ª ××× ×ª×§××¤× ×©× 24 ×©×¢××ª ××× ×××ª×¨ ×-40 ×©×¢××ª ××× ×ª×§××¤× ×©× 7 ××××,B
97,"××× × ×ª×¢×××¨×, ×¢×××× ××¢×¡×§××",××× ×××¨×ª× ×©× ×××§ ×©××¨××ª× ×××××?,××× ×ª ××¦×¨××,××××§ ×©××¨××ª× ××××× ×× ×××××¨× ×××¨×,×× ××ª×©××××ª × ××× ××ª,"××××¨×ª ×××××××ª ×××¤×¢××ª ×¨×× ××¡××¨× ××××ª× ×©××¨××ª× ×××××, ××× × ×¢× ××¦×¨×× ××©×××¨× ×¢× ×××××ª ××¡××××",D
98,"××× × ×ª×¢×××¨×, ×¢×××× ××¢×¡×§××",××× × ××ª× ×××××× ×¢××× ×××¡××¨×ª ××¡×× ×¢×××× ×××©× ×××¢××× ××¦× ××¢×¡××§ ××××¨ ×¡××× ×¢××××ª×?,××××× ×× ×××× ×××××,× ××ª× ×××××× ×¢××× ×××¡××¨×ª ××¡×× ×¢×××× ×××©× ×××¢××× ××¦× ××¢×¡××§ ×××¨ ××××¨ ×¡××× ×¢××××ª× ××××× ×©×××××× ××× ××××ª ×××××ª××ª,××¡××¨,××£ ×ª×©××× ××× × × ××× ×,B
99,"××× × ×ª×¢×××¨×, ×¢×××× ××¢×¡×§××",×× ×××× ×××©×¤××× ××××× × ×××:,×¢× ×× ×××× ××× ×××¨×××ª ×¤×××××ª ×¨×××× ××× ××¡×£ ×××¨×××ª ×©××××××ª, ×¢× ×× ×××× ××× ×××¨×××ª ×¤×××××ª ×¨×××× ××××,×× ×××× ××× × ×××× ××××¨×××ª ×××,××£ ×ª×©××× ××× × × ××× ×,A
100,"××× × ×ª×¢×××¨×, ×¢×××× ××¢×¡×§××",×× ×¨×©×× ×¢×¤×´× ×××§ ×××× ×¢×ª ×××××§ ×¨×× ×/×× ×××××× × ×××××§×:,×××× ×× ××©× ×¢××× ×ª×¢×××ª ×××× ×©× ×¨×©××ª ××¨××©××,×©×××¨ ×× ××©× ×¢××× ×ª×¢×××ª ×××× ×ª× ××¢× ×©× ×××©××¨×,×ª×©××××ª ××³ ×-××³ × ××× ××ª,××£ ×ª×©××× ××× × × ××× ×,C
101,"××× × ×ª×¢×××¨×, ×¢×××× ××¢×¡×§××",×¡×× ××ª ××ª×©××× ×× ××× ×,××¢× ××¤×¢× ×××× ×××ª ××©× ×ª××× ×ª××× ××ª ×××¨×××ª ××§×¦××¢×××ª,××¢× ××¤×¢× ×××× ×××ª ××©× × ×ª××× ××ª ×××¨×××ª ××§×¦××¢×××ª,××¢× ××¤×¢× ××× × ××××× ××× ×××× ×ª ×ª××× ×××ª ×××¨××,×× ××ª×©××××ª × ××× ××ª,B
102,×ª×§× ××ª ××××××ª ××¨××ª×× ×××¢× ××,××× ×××××ª ×××¢ ×¤××¢××× ×¢× ××¨×× ×××××¢×?,×××××ª ×¡××¡,"××× ×××ª×××, ××× ×××©×××, ×××× ××¦× ××¨××¤××××",×××× ×©××××£ ××ª ××¨×× ×××¨××××ª,××××× ××××××ª ×©×§××××× ×××× ××××××¨,B
103,×ª×§× ××ª ××××××ª ××¨××ª×× ×××¢× ××,××× ××××××× ×¨×× ×××¨×××?,××× ××©××××ª,××©××××××× ×××× ×××××× ××××¨×× ××××ª×× ××©××¤××¢,×¨×§ ×××××× ×¦× ×××××©,××©××××××× ×××× ×××××× ×× ×ª×× ×× ×××,B
104,×ª×§× ××ª ××××××ª ××¨××ª×× ×××¢× ××,×× ×©×× × × ××××ª ×××¨×£ ×× ××××ª ×§××¥?,× ××××ª ×××¨×£ ××¡××× ×ª ,×××¤×©×¨ ×××§×× ×××¨×× ××××¡ ××¨××,"××××¨×£ ××© ××§××ª ×××©××× ××¨××§ ×××××. ××××© ×¨×××, ××××× ××× ××¨×× ×××××©, ×¨×××ª, × ×¨×××ª, ××××§× ××¢××",××××¨×£ ×××××¤×× ××××× ×¨×§ ×××¨××××ª,C
105,×ª×§× ××ª ××××××ª ××¨××ª×× ×××¢× ××,×× ×¢×××× ××¢×©××ª ×××¨× × ×¡××¢× ×××××¨?,××××× ××××¡×ª×× ×××¨×××ª. ××××××××× ××¢×× ×¡×××¨ ×××ª×× × ××ª ×× ×¡××¢× ×××××¨ ×××¤×ª×× ××××. ××¤×©×¨ ××¢××¨ ××××××,××× ×¦××¨× ×× ×¡××¢× ×××××¨,"×××¤×©×¨ ××× ×©×× ××¢×××¨, ×××××ª ×©×××",×¡×¢ ×××××¨ ×¢× ×©×ª×©××¢ ×¨×¢×©,A
106,×ª×§× ××ª ××××××ª ××¨××ª×× ×××¢× ××,××××¢ ××© ×××ª××× ××ª ××¨×× ××¡×× ××××¢× ×××××?,××× ××©××××ª ×××. ×× ×¨×× ××ª×××,"×××× ××××¢×, ××× ××©××××ª ×××",×××× ×ª× ×× ×××¨×,××× ×©× ×ª××× ××ª ××××¢× ××¨×× ×× ×××××ª× ×ª××× ××××× ×××ª×¨,D
107,×ª×§× ××ª ××××××ª ××¨××ª×× ×××¢× ××,×× ×××©××××ª ×©× ×× ×©×× ×¦×× ××¨××ª?,××× ×××©×× ×× ××× ××§. ××××× ××××× ×××ª×¨,××× ×¢× ××¨×× ××¨××,×××× ×¢× ××¦×× ××¨,××× ××©××××ª ××× ×©×,A
108,×ª×§× ××ª ××××××ª ××¨××ª×× ×××¢× ××,××× ×××©× ×¨××©×× ××© ×××× ×××©×ª××© ××¡×××¢× ××××?,××× ×× ××©××××ª ×××,×× ×××¡××¨ ××××× ×××©×ª××© ××¡×××¢× ×××× ×××©× ×¨××©×× ×× ×××¥ ×× ××©×§×¢ ×§×¤××, ××©× ×¨××©×× ×× ×××©× ×©×× ×§× ××ª ×××××© ×× ××× ××¢××,××©× ×¨××©×× ××× × ××©×¤××¢ ×¢× ×××©×××ª,B
109,×ª×§× ××ª ××××××ª ××¨××ª×× ×××¢× ××,×¢× ×× ××© ×××§×¤×× ××××××ª ××××´×¡?,××× ×¦××¨× ×××§×¤×× ×¢× ××××,×©××© ×× ×× ×××ª×¨ ××ª××§×£. ×××©××¨ ADR. ××¡×××× ×¨×××× ××× ××××ª× ×¡×× ×©× ×××××,×××§ ×××©×××ª ××¦×× ××¨××ª ×¨××§××,×ª×©××××ª ××³ ×-××³ × ××× ××ª,C
110,×ª×§× ××ª ××××××ª ××¨××ª×× ×××¢× ××,×¢× ×× ×××× ×××§×¤×× ××¢×ª ×ª×§×× ××¨×× ××¢×ª ×¢×¦××¨× ××©×××××?,"××××× ××× ×××¤×©×¨, ××¤×¢××ª ×××××××, ××¨××ª ×¢× ××¤×× ××××¨ ×¨×¦×× ××××ª ××§×¨××× ×××¢×§× ×××××××ª. ××©×××© ××××¨×. ××××× ×××××© 6, ××©××¨×, ×§×¦××´×ª, ×¡××¨×. ×× ××© ××¤×©×¨××ª ××××¨× ××©×ª××©× ×××¨×.",××©××ª ××¨×× ××××××ª ××××××¥,××× ×©×× ×××× ×××§×ª××ª,×× ×× ××¤× ×©××§×× ××¢×ª× ××¨××,A
111,×ª×§× ××ª ××××××ª ××¨××ª×× ×××¢× ××,××× ××© ×××× ××××× ×¢× ×©×× ×× ×××¦× ×¨××©××× ×× ×××× ×©× ×× ××?,××× ×××× ×××,××£ ×¤×¢× ×× × ×××¦×ª× ×××××,×××× ×¢× ×× ×× ××××× ×¢× ×× ×©×× ×× ×××¦× ×¨××©××× ×× ×××× ××§×¦××´×ª ×××× ×× ××××¨×× ×¢× ×× ×× (×¡××¨×),××©× × ×××ª ××××,C
112,×××§ ××ª×§× ××ª ×©××¨××ª× ×××××,×× ××××¨ ××××× ×©××¨ ×××¢×?,××¡×¤×¨ ×¨××©×× ×©× ×××©×××ª ×©×× ××××¦×¢×ª ×××××× ××¡×× ××××¢×,"×©× ××××× ××××××, ××¢× ×, ××§×× ×××¦× ×××××× ×××¢× ××××¢×","×©× ××××××, ××¢× × ×××¡×¤×¨ ××¨××©××× ×©× ××ª× ×××©×¨×× ××××¨×©× ×¢× ×¤× ××××§",×× ××ª×©××××ª × ××× ××ª,D
113,×××§ ××ª×§× ××ª ×©××¨××ª× ×××××,××× ×ª×¤×§××× ×©× ×× ×× ××©×¨× ×©××¨××ª× ×××××?,×× ×× ××©×¨× ×©××¨××ª× ××××× ×××¨×× ×¢× ×× ××©××× ×××××× ××¡××¨×××××× ××××× ×ª ××××××ª ×¦× ××¨×× ×©× ××××¨×,"×× ×× ××©×¨× ×©××¨××ª× ××××× ××©××© ×× ×× ××§×¦××¢× ×©× ×××©×¨×, ×××¨×× ×¢× ×ª×§×× ××ª ×××××××ª ××¨×× ××¢× ×× ××××","×× ×× ××©×¨× ×©××¨××ª× ××××× ×××¨×× ×¢× ×¦×××, ××¨×××× ××××¨× ×¢× ×× ×ª ××©×××¨ ×¢× ×ª××××§× × ×××ª× ××¨××",×× ×× ××©×¨× ×©××¨××ª× ××××× ×××¨×× ×¢× ××××××ª ×××¢× × ××××¨× ×¢× ×× ×ª ×©×× ×××¡×¢× ××¢×××¡ ××ª×¨,B
114,×××§ ××ª×§× ××ª ×©××¨××ª× ×××××,××× ×ª×§××¤×ª ×ª××§×£ ×¨××©××× ××××× ×¢× ×¤× ×××§?,×ª×§××¤×ª ×ª××§×¤× ×©× ×¨××©××× ××××× ××× × ×-5 ×©× ×× ×¢× ××××¤×¦×× ××××××© ××©× × × ××¡×¤×ª,×ª×§××¤×ª ×ª××§×¤× ×©× ×¨××©××× ××××× ××× × ×-3 ××××©×× ×××× ×××© ××××©× ××¤× ××¦××¨×,×©× × ×©××× ××× ×¨×©×× ×©×¨ ××ª××××¨× ××§×××¢ ×ª×§××¤× ×©×× × ×¢× ×¤× ××××ª ×××× ×©×××§××¢,×ª××§×¤× ×©× ×¨××©××× ××××× ××× × ××× ××××× ×××× ×¡××××ª ××©××× ××ª ××¨××©××× ×××,C
115,×××§ ××ª×§× ××ª ×©××¨××ª× ×××××,×× ×××× ××§×× ×¨××©××× ××××× ×××××× ×ª× ×××?,×× ×§×¦×× ××××××ª ×©×¢××¨ ××©×ª××××ª ××ª 16 ×©×¢××ª ×××× × ××¢××× ×©× ×××× ××ª ××©× ××¢× 10 ××× ××××©×× ××¢×¡××§ ××ª×¤×§×× ×§×¦×× ××××××ª,×× ××¢× ×¨×× ×× ××¤×¢×× ××× ×¨×× ×©××©×§×× 10 ××× ×××¢×× ×©×¢××¨ ×××©×¨× ××¤× ×©× ×§××¢ ××ª×§× ××ª ×××××× ××¢×× ×××¨××©××ª ××××§,×× ××× ×©××× ××§××¨×¡ ××ª××× ×××¢×× ××× ×× ×× ××©×¨× ××××× ××××©××¨ ××¤×§× ×¢× ×××××××ª ×× ×§×¦×× ×××××××ª ×©× ××××¨× ×©×××¡×× ××××§,×× ××ª×©××××ª × ××× ××ª,B
116,×××§ ××ª×§× ××ª ×©××¨××ª× ×××××,××× ××©×¤×¢×ª ×××§×× ××¢×××¡ ×××¨×× ××¢×××¡ ×¢× ×××¦××××ª?,"××× ×©××¨×× ××××× ×××ª×¨ ×§××¨× ××¡×¨× ×××××¨×, ××¨×× ×××ª×¨ ××¦×× (××××× × ××××¨××)","××× ×©××¨×× ××××× ×××ª×¨ ×§×¨×× ××¡×¨× ××§×××, ××¨×× ×××ª×¨ ××¦×× (××××× ××¡×¨)","××× ×©××¨×× ××××× ×××ª×¨ ×§×¨×× ××¡×¨× ×××××¨×, ××¨×× ×××ª×¨ ××¦×× (××××× ××¡×¨)","××× ×©××¨×× ××××× ×××ª×¨ ×§×¨×× ×××¨××, ××¨×× ×××ª×¨ ××¦×× (××××× ××¡×¨)",B
117,×××§ ××ª×§× ××ª ×©××¨××ª× ×××××,"×××× × ××× ×¨×× ××©× ×××¦×× ×××¡×××× ××××× ××× ×¢×ª ×××××× ××××©××¨ ××××ª× ×¨××, ×××ª ×××¤×§× ××××× ××¤×¨××× ××¨×©×××× ×××, ×¦××× ×××× ××××©×¤××× ××¨×©×××× ×××Â ×©×××","××ª×××ª ××¢× ××¨××©×××, ×¡×× ××××¢× ×©×××ª×¨ ×××××× ××¨××","×©× ××¢× ××¨××©×××, ××ª×××ª×, ××¡×¤×¨ ×¨××©××× ××××× ×××¡×¤×¨ ×¨××©×× ××¨××","×¤××¨×× ××ª× ××× ×× ××¡×¤×× ×©×§××¢ ×××¤×§× ××¤× ×ª×§× ×ª ××©× × (×), 7(×), ×(×)",×× ×××©×¤××× × ××× ××,C
118,×××§ ××ª×§× ××ª ×©××¨××ª× ×××××,"×¦× ×¨×× ××¡××¨× ×××× ×©××××©, ×× ××××¨×× ×¢××× ×××¢×××ª, ×× ×¤×§×¢ ×ª××§×£ ×¨××©××× ××¨××, ×××¦× ×× ×× ××¢× ××¨×× ××××××?",××¢× ×¨××©××× ×××××× ×××××¨× ×××¤×§× ××©×× ×©×¤×§×¢ ×¨××©××× ××××××,××¢× ×¨××©××× ×××××× ××¢×××¨ ××ª ××¨××©××× ××¨×× ×××¨ ×¢× ×¤× ×¨×××ª ×¢×× ××,×××× ×¨×× ×©××¦× ××©××××© ×¨×©×× ×××××× ×××©×ª××© ××¨××©××× ××¨×× ×××©,×××××¨ ××ª ××¨××©××× ××§×¦×× ×××××××ª ××× ××××× ×××¦× ×× ××× ××¨××©×××,A
119,×××§ ××ª×§× ××ª ×©××¨××ª× ×××××,×¦××× ×××¡×××ª× ××©××¨ ×××¢× ××× ××× × ××¢×?,××©××© ×× ×¡×¤× ××ª×¢×××ª ×××©××× ×©××× × ×©××¨ ×××¢×,××¦××× ××§××¨ ×¨××©×× ×××©×× ××× ××©××¨,××©××© ××§××¨ ×©× ××ª× ×××¡×ª×× ×¢××× ×× ××¡×£ ××©××¨ ××××¢×,××©××© ××ª ×ª×¢×××ª ×××©××× ×××ª ×©××¨ ××××¢× ××¨××©×× ××¨××,C
