question_id,topic,question_text,option_a,option_b,option_c,option_d,correct_answer
102,תקנות להובלת וריתום מטענים,אלו כוחות טבע פועלים על הרכב והמטען?,כוחות סוס,"כוח ההתמדה, כוח המשיכה, הכוח הצנטרופוגלי",הכוח שדוחף את הרכב בירידות,חיכוך וכוחות שקיימים בחלל האוויר,B
103,תקנות להובלת וריתום מטענים,איך מאבטחים רכב בירידה?,אין חשיבות,כשהגלגלים יהיו לכיוון המדרכה ובהתאם לשיפוע,רק לכיוון צד הכביש,כשהגלגלים יהיו לכיוון הנתיב הנגדי,B
104,תקנות להובלת וריתום מטענים,מה שונה נהיגת חורף מנהיגת קיץ?,נהיגת חורף מסוכנת ,מאפשר מיקום הארגז ביחס לרכב,"בחורף יש לקחת בחשבון מרחק בלימה. כביש רטוב, אחיזה בין הרכב לכביש, ראות, נראות, החלקה ועוד",בחורף מחליפים הילוך רק בירידות,C
105,תקנות להובלת וריתום מטענים,מה עלייך לעשות בטרם נסיעה לאחור?,להביט ולהסתכל במראות. בטלוויזיה מעגל סגור ולתכנן את הנסיעה לאחור ולפתוח חלון. אפשר לעזר במכוון,אין צורך בנסיעה לאחור,"לאפשר לאנשים לעבור, הזכות שלהם",סע לאחור עד שתשמע רעש,A
106,תקנות להובלת וריתום מטענים,מדוע יש להתאים את הרכב לסוג המטען המובל?,אין חשיבות בכך. כל רכב מתאים,"בגלל המטען, אין חשיבות גלל",בגלל תנאי הדרך,ככל שנתאים את המטען לרכב כך הובלתו תהיה בטוחה יותר,D
107,תקנות להובלת וריתום מטענים,מה החשיבות של מנשאי צינורות?,לבל יישמט או יינזק. הובלה בטוחה יותר,להן על ארגז הרכב,להגן על הצינור,אין חשיבות למנשא,A
108,תקנות להובלת וריתום מטענים,האם בגשם ראשון יש חובה להשתמש בסייען האטה?,אין לו חשיבות כלל,חל איסור מוחלט להשתמש בסייען האטה בגשם ראשון או בוץ או משקע קפוא, גשם ראשון זה הגשם שמנקה את הכביש אז אין בעיה,גשם ראשון אינו משפיע על המשאית,B
109,תקנות להובלת וריתום מטענים,על מה יש להקפיד בהובלת חומ״ס?,אין צורך להקפיד על כלום,שיש לנהג היתר בתוקף. אישור ADR. מסמכים רלוונטים לאותה סוג של הולבה,דלק במשאית וצינורות ריקון,תשובות ב׳ ו-ג׳ נכונות,C
110,תקנות להובלת וריתום מטענים,על מה חובה להקפיד בעת תקלה ברכב בעת עצירה בשוליים?,"לימין ככל האפשר, הפעלת מהבהבים, לרדת עם אפוד זוהר רצוי מדלת הקרובה למעקה הבטיחות. משולש אזהרה. לדווח לכביש 6, משטרה, קצב״ת, סדרן. אם יש אפשרות אזהרה משתמשי הדרך.",לשבת ברכב ולחכות לחילוץ,אין שום חובה חוקתית,אנהג לפי שיקול דעתי הרחב,A
111,תקנות להובלת וריתום מטענים,האם יש חובה לדווח על שינוי במצב רישיון הנהיגה של הנהג?,אין חובה כלל,אף פעם לא נאלצתי לדווח,חובה על הנהג לדווח על כל שינוי במצב רישיון הנהיגה לקצב״ת ולמנהל האחראי על הנהג (סדרן),לשנה אחת בלבד,C
112,חוק ותקנות שירותי הובלה,מה אמור להכין שטר מטען?,מספר רישוי של המשאית שבה מובצעת ההובלה וסוג המטען,"שם מזמין בהובלה, מענו, מקום מוצא ההובלה ויעד המטען","שם המוביל, מענו ומספר הרישיון שניתן למשרדו כמורשה על פי החוק",כל התשובות נכונות,D
113,חוק ותקנות שירותי הובלה,מהו תפקידו של מנהל משרד שירותי הובלה?,מנהל משרד שירותי הובלה אחראי על הנושאים האדמיניסטרטיביים מבחינת בטיחות צי הרכב של החברה,"מנהל משרד שירותי הובלה משמש מנהל מקצועי של המשרד, אחראי על תקינות ובטיחות הרכב ועל הנהיגה","מנהל משרד שירותי הובלה אחראי על ציוד, הרכבים בחברה על מנת לשמור על תחזוקה נאותה ברכב",מנהל משרד שירותי הובלה אחראי על הובלות מטעני החברה על מנת שלא ייסעו בעומס יתר,B
114,חוק ותקנות שירותי הובלה,מהי תקופת תוקף רישיון מוביל על פי חוק?,תקופת תוקפו של רישיון מוביל הינה ל-5 שנים עם האופציה לחידוש לשנה נוספת,תקופת תוקפו של רישיון מוביל הינה ל-3 חודשים בלבד ויש לחדשו לפי הצורך,שנה שלמה וכן רשאי שר התחבורה לקבוע תקופה שונה על פי אמות מידה שייקבע,תוקפו של רישיון מוביל הינו לכל החיים ואין סמכות לשלול את הרישיון כלל,C
115,חוק ותקנות שירותי הובלה,מי זכאי לקבל רישיון מוביל ובאיזה תנאים?,כל קצין בטיחות שעבר השתלמות בת 16 שעות ואינו בעלים של מכונית משא מעל 10 טון וממשיך לעסוק בתפקיד קצין בטיחות,כל בעל רכב או מפעיל כלי רכב שמשקלם 10 טון ומעלה שעבר הכשרה כפי שנקבע בתקנות ההובלה ועמד בדרישות החוק,כל אדם שלמד בקורס מתאים ומעוניין לנהל משרד הובלה באישור מפקח על הבטיחות או קצין הבטיחות של החברה שהוסמך כחוק,כל התשובות נכונות,B
116,חוק ותקנות שירותי הובלה,מהי השפעת מיקום העומס ומרכז העומס על היציבות?,"ככל שמרכז הכובד יותר קורב לסרן האחורי, הרכב יותר יציב (היגוי נאוטרלי)","ככל שמרכז הכובד יותר קרוב לסרן הקדמי, הרכב יותר יציב (היגוי חסר)","ככל שמרכז הכובד יותר קרוב לסרן האחורי, הרכב יותר יציב (היגוי חסר)","ככל שמרכז הכובד יותר קרוב למרכז, הרכב יותר יציב (היגוי חסר)",B
117,חוק ותקנות שירותי הובלה,"בידי נוהג רכב משא ימצאו המסמכים הבאים בכל עת ההובלה באישור לאותו רכב, מאת המפקח הכולל הפרטים הרשומים מטה, ציין איזה מהמשפטים הרשומים מטה שגוי","כתובת בעל הרישיון, סוג המטען שהותר להובלה ברכב","שם בעל הרישיון, כתובתו, מספר רישיון מוביל ומספר רישוי הרכב","פירוט התנאים הנוספים שקבע המפקח לפי תקנת משנה (ב), 7(ב), ו(ב)",כל המשפטים נכונים,C
118,חוק ותקנות שירותי הובלה,"יצא רכב מסחרי מכלל שימוש, או הוארכה עליו הבעלות, או פקע תוקף רישיון הרכב, כיצד ינהג בעל הרכב המוביל?",בעל רישיון המוביל יחזירו למפקח משום שפקע רישיון המוביל,בעל רישיון המוביל יעביר את הרישיון לרכב אחר על פי ראות עינוי,לגבי רכב שיצא משימוש רשאי המוביל להשתמש ברישיון לרכב חדש,יחזיר את הרישיון לקצין הבטיחות וזה יחליט כיצד לנהוג ברישיון,A
119,חוק ותקנות שירותי הובלה,ציון האסמכתא בשטר מטען למה הוא נועד?,לשמש כנספח לתעודת המשלוח שאינה שטר מטען,לציין מקור רישום כלשהו בגב השטר,לשמש מקור שניתן להסתמך עליו בנוסף לשטר המטען,לשמש את תעודת המשלוח ואת שטר המטען לרישוי הרכב,C
120,חוק ותקנות שירותי הובלה,מה מטרתו העיקרית של חוק שירותי הובלה (רישיון מוביל)?,חוק זה בא להסמיך מפקחים ממגזר המובילים ולהדריכם להיות אחראים לשינוע מטענים בבטיחות מרבית,חוק זה בא להגביר את הבטיחות בהפעלת רכב מסחרי ומתן רכב הובלה וכן להגן על הצרכן ועל איכות הסביבה,חוק זה בא לתת משנה תוקף למשטרת ישראל להגביר את אכיפת החוק ולאפשר לשוטרים להגביר את הבטיחות בשינוע מטענים,חוק זה בא לתת לקציני בטיחות בתעבורה ולבעלי רישיון מוביל את הסמכות לדווח למשטרה על מובילים שעוברים על החוק,B
